name, image, url, description
AppSync,imgs/App-Integration/AppSync.svg,https://aws.amazon.com/appsync,"Accelerate application development with 100% serverless GraphQL and Pub/Sub APIs. Get 250,000 API requests free per month for 12 months."
Console Mobile Application,imgs/App-Integration/Console-Mobile-Application.svg,https://aws.amazon.com/console-mobile-application,The AWS Console Mobile Application provides customers the ability to view and manage select AWS resources from their mobile device.
EventBridge,imgs/App-Integration/EventBridge.svg,https://aws.amazon.com/eventbridge,"Amazon EventBridge is a serverless event bus that ingests data from your own apps, SaaS apps, and AWS services and routes that data to targets."
Express Workflows,imgs/App-Integration/Express-Workflows.svg,https://aws.amazon.com/express-workflows,"Express Workflows are a type of AWS Step Functions workflow type that cost-effectively orchestrate AWS compute, database, and messaging services at event rates greater than 100,000 events per second."
Managed Workflows for Apache Airflow,imgs/App-Integration/Managed-Workflows-for-Apache-Airflow.svg,https://aws.amazon.com/managed-workflows-for-apache-airflow,"Amazon Managed Workflows for Apache Airflow (MWAA) is a managed orchestration service for Apache Airflow that makes it easier to set up, operate, and scale data pipelines in the cloud."
MQ,imgs/App-Integration/MQ.svg,https://aws.amazon.com/mq,Amazon MQ is a managed message broker service for Apache ActiveMQ and RabbitMQ that simplifies setup and operation of open-source message brokers on AWS.
Simple Notification Service,imgs/App-Integration/Simple-Notification-Service.svg,https://aws.amazon.com/simple-notification-service,"Amazon SNS is a managed messaging service for communication, allowing messaging between decoupled microservices applications or directly to users with SMS texts, mobile push, and email."
Simple Queue Service,imgs/App-Integration/Simple-Queue-Service.svg,https://aws.amazon.com/simple-queue-service,"Amazon SQS fully managed message queuing makes it easy to decouple and scale microservices, distributed systems, and serverless applications."
Step Functions,imgs/App-Integration/Step-Functions.svg,https://aws.amazon.com/step-functions,AWS Step Functions lets you orchestrate multiple AWS services into serverless workflows so that you can build and update applications quickly.
Managed Blockchain,imgs/Blockchain/Managed-Blockchain.svg,https://aws.amazon.com/managed-blockchain,Amazon Managed Blockchain is a fully managed service that makes it easy to create and manage scalable blockchain networks using the Ethereum or Hyperledger Fabric open-source frameworks.
Quantum Ledger Database,imgs/Blockchain/Quantum-Ledger-Database.svg,https://aws.amazon.com/quantum-ledger-database,"Amazon Quantum Ledger Database (Amazon QLDB) is a fully managed ledger database that provides a transparent, immutable, and cryptographically verifiable transaction log owned by a central trusted authority."
Alexa For Business,imgs/Business-Applications/Alexa-For-Business.svg,https://aws.amazon.com/alexa-for-business,"Alexa for Business gives you the tools you need to manage Alexa devices, enroll users, and assign skills."
Chime,imgs/Business-Applications/Chime.svg,https://aws.amazon.com/chime,"Amazon Chime lets users meet and chat online, and the Amazon Chime SDK lets developers add audio and video collaboration to their applications."
Chime SDK,imgs/Business-Applications/Chime-SDK.svg,https://aws.amazon.com/chime-sdk,"The Amazon Chime SDK allows builders to add real-time voice, video, and messaging powered by machine learning into their applications."
Chime Voice Connector,imgs/Business-Applications/Chime-Voice-Connector.svg,https://aws.amazon.com/chime-voice-connector,"The Amazon Chime SDK allows builders to add real-time voice, video, and messaging powered by machine learning into their applications."
Connect,imgs/Business-Applications/Connect.svg,https://aws.amazon.com/connect,"Amazon Connect is an easy-to-use omnichannel cloud contact center service offering superior, low-cost customer service using machine learning (ML), interactive voice response (IVR), and call center routing."
Honeycode,imgs/Business-Applications/Honeycode.svg,https://aws.amazon.com/honeycode,Use Amazon Honeycode to build custom apps that help your team manage work and achieve its goals. No programming required.
Pinpoint,imgs/Business-Applications/Pinpoint.svg,https://aws.amazon.com/pinpoint,"Amazon Pinpoint is a flexible, scalable marketing communications service that connects you with customers over email, SMS, push notifications, or voice."
Pinpoint APIs,imgs/Business-Applications/Pinpoint-APIs.svg,https://aws.amazon.com/pinpoint-apis,"Amazon Pinpoint is a flexible, scalable marketing communications service that connects you with customers over email, SMS, push notifications, or voice."
Simple Email Service,imgs/Business-Applications/Simple-Email-Service.svg,https://aws.amazon.com/simple-email-service,"Amazon Simple Email Service (SES) is a cost-effective, flexible, and scalable email service that allows developers to send email from within any application."
Supply Chain,imgs/Business-Applications/Supply-Chain.svg,https://aws.amazon.com/supply-chain,"AWS Supply Chain is a cloud-based application that unifies data, provides ML-powered actionable insights, and offers built-in contextual collaboration."
Wickr,imgs/Business-Applications/Wickr.svg,https://aws.amazon.com/wickr,"AWS Wickr is an end-to-end encrypted service that helps organizations collaborate more securely through messaging, voice and video calling, file sharing, and screen sharing."
WorkDocs,imgs/Business-Applications/WorkDocs.svg,https://aws.amazon.com/workdocs,"Amazon WorkDocs is a fully managed, secure content collaboration service. You can easily create, edit, store, and share content—and access it from anywhere."
WorkDocs SDK,imgs/Business-Applications/WorkDocs-SDK.svg,https://aws.amazon.com/workdocs-sdk,"Need to build file collaboration and management capabilities into your app? The WorkDocs SDK is part of the AWS SDK, and includes a full set of APIs."
WorkMail,imgs/Business-Applications/WorkMail.svg,https://aws.amazon.com/workmail,Amazon WorkMail is a managed email and calendaring service that offers strong security controls and support for existing desktop and mobile clients.
Application Cost Profiler,imgs/Cloud-Financial-Management/Application-Cost-Profiler.svg,https://aws.amazon.com/application-cost-profiler,Granular cost insights for your multi-tenant applications
Billing Conductor,imgs/Cloud-Financial-Management/Billing-Conductor.svg,https://aws.amazon.com/billing-conductor,"AWS Billing Conductor enables accurate, customizable billing to meet the complex needs of your business and customers."
Budgets,imgs/Cloud-Financial-Management/Budgets.svg,https://aws.amazon.com/budgets,AWS Budgets is the simplest way to monitor your AWS spend and be alerted when you exceed or are forecasted to exceed your desired spending limit.
Cost and Usage Report,imgs/Cloud-Financial-Management/Cost-and-Usage-Report.svg,https://aws.amazon.com/cost-and-usage-report,"AWS Cost & Usage Reports contains the most comprehensive set of AWS cost and usage data available, including additional metadata about AWS services, pricing, and reservations."
Cost Explorer,imgs/Cloud-Financial-Management/Cost-Explorer.svg,https://aws.amazon.com/cost-explorer,"AWS Cost Explorer has an easy-to-use interface that lets you visualize, understand, and manage your AWS cloud costs and usage over time."
Reserved Instance Reporting,imgs/Cloud-Financial-Management/Reserved-Instance-Reporting.svg,https://aws.amazon.com/reserved-instance-reporting,"Manage and monitor your Amazon EC2, Amazon RDS, Amazon OpenSearch Service, Amazon ElastiCache, and Amazon Redshift reservations with reserved instance—specific cost management solutions."
Savings Plans,imgs/Cloud-Financial-Management/Savings-Plans.svg,https://aws.amazon.com/savings-plans,Savings Plans is a flexible pricing model that provides up to 72% savings on your AWS usage compared to On-Demand prices.
App Runner,imgs/Compute/App-Runner.svg,https://aws.amazon.com/app-runner,AWS App Runner helps you deploy and scale from your source code or container image to a secure web application on AWS.
Application Auto Scaling,imgs/Compute/Application-Auto-Scaling.svg,https://aws.amazon.com/application-auto-scaling,"Learn how AWS Auto Scaling monitors your applications and automatically adjusts capacity to maintain steady, predictable performance at the lowest possible cost."
Batch,imgs/Compute/Batch.svg,https://aws.amazon.com/batch,"AWS Batch allows developers, scientists, and engineers to efficiently process hundreds of thousands of batch and machine learning computing jobs on AWS."
Bottlerocket,imgs/Compute/Bottlerocket.svg,https://aws.amazon.com/bottlerocket,"Linux based open source operating system that is purpose built for running containers and operates as a container host. Bottlerocket includes only the essential software required to run containers. With Bottlerocket, customers can reduce maintenance overhead and automate their workflows."
Compute Optimizer,imgs/Compute/Compute-Optimizer.svg,https://aws.amazon.com/compute-optimizer,AWS Compute Optimizer recommends more efficient AWS compute resources for your workloads to reduce costs and improve performance.
EC2,imgs/Compute/EC2.svg,https://aws.amazon.com/ec2,"Amazon EC2 provides secure, resizable compute in the cloud, offering the broadest choice of processor, storage, networking, OS, and purchase model."
EC2 Auto Scaling,imgs/Compute/EC2-Auto-Scaling.svg,https://aws.amazon.com/ec2-auto-scaling,Amazon EC2 Auto Scaling helps you maintain application availability and define how to scale Amazon EC2 capacity to meet the demands of your application.
EC2 Image Builder,imgs/Compute/EC2-Image-Builder.svg,https://aws.amazon.com/ec2-image-builder,"EC2 Image Builder simplifies the building, testing, and deployment of Virtual Machine and container images for use on AWS or on-premises."
Elastic Beanstalk,imgs/Compute/Elastic-Beanstalk.svg,https://aws.amazon.com/elastic-beanstalk,"AWS Elastic Beanstalk helps you deploy and manage web applications with capacity provisioning, app health monitoring, and more."
Elastic Fabric Adapter,imgs/Compute/Elastic-Fabric-Adapter.svg,https://aws.amazon.com/elastic-fabric-adapter,An Elastic Fabric Adapter (EFA) is a network device that you can attach to your Amazon EC2 instance to accelerate High Performance Computing (HPC) and machine learning applications.
Fargate,imgs/Compute/Fargate.svg,https://aws.amazon.com/fargate,AWS Fargate is a serverless compute engine for containers that works with both Amazon Elastic Container Service (ECS) and Amazon Elastic Kubernetes (EKS).
Genomics CLI,imgs/Compute/Genomics-CLI.svg,https://aws.amazon.com/genomics-cli,"Amazon Genomics CLI is an open source tool for genomics and life science customers to quickly setup and run genomics workflows on AWS, at petabyte scale."
Lambda,imgs/Compute/Lambda.svg,https://aws.amazon.com/lambda,AWS Lambda is a serverless compute service for running code without having to provision or manage servers. You pay only for the compute time you consume.
Lightsail,imgs/Compute/Lightsail.svg,https://aws.amazon.com/lightsail,"Amazon Lightsail is an easy-to-use virtual private server (VPS) that offers simple management of cloud resources such as containers, at low, predictable prices."
Local Zones,imgs/Compute/Local-Zones.svg,https://aws.amazon.com/local-zones,AWS Local Zones are a type of AWS infrastructure deployment that make it possible to run low latency applications closer to end users or on-premises installations in a specific geography.
NICE DCV,imgs/Compute/NICE-DCV.svg,https://aws.amazon.com/nice-dcv,"NICE DCV is a remote visualization technology that you can use to connect securely to graphic-intensive 3D applications hosted on remote servers. With NICE DCV, you can bring high-performance processing capabilities to remote users through secure client sessions."
NICE EnginFrame,imgs/Compute/NICE-EnginFrame.svg,https://aws.amazon.com/nice-enginframe,NICE EnginFrame is an easy-to-use HPC portal to manage HPC environments across on-premises and in AWS.
Nitro Enclaves,imgs/Compute/Nitro-Enclaves.svg,https://aws.amazon.com/nitro-enclaves,"AWS Nitro Enclaves is an Amazon EC2 feature that allows you to create isolated execution environments, called enclaves, from Amazon EC2 instances. Enclaves are separate, hardened, and highly-constrained virtual machines."
Outposts family,imgs/Compute/Outposts-family.svg,https://aws.amazon.com/outposts-family,Run AWS infrastructure and services on premises for a truly consistent hybrid experience.
Outposts rack,imgs/Compute/Outposts-rack.svg,https://aws.amazon.com/outposts-rack,"AWS Outposts rack is a fully managed service that extends AWS infrastructure, AWS services, APIs, and tools to virtually any data center, co-location space, or on-premises facility for a truly consistent hybrid cloud experience."
Outposts servers,imgs/Compute/Outposts-servers.svg,https://aws.amazon.com/outposts-servers,AWS Outposts offers rack-mountable servers in 1U and 2U form factors for locations with limited space or smaller capacity requirements.
ParallelCluster,imgs/Compute/ParallelCluster.svg,https://aws.amazon.com/parallelcluster,AWS ParallelCluster is an AWS supported open source cluster management tool that helps you to deploy and manage high performance computing (HPC) clusters in the AWS Cloud.
Serverless Application Repository,imgs/Compute/Serverless-Application-Repository.svg,https://aws.amazon.com/serverless-application-repository,"Discover, deploy, and publish serverless applications for common use cases including Alexa Skills, chatbots, IoT, web and mobile back-ends, data processing, and more."
SimSpace Weaver,imgs/Compute/SimSpace-Weaver.svg,https://aws.amazon.com/simspace-weaver,AWS SimSpace Weaver helps you expand your spatial simulation capabilities to new levels of scale and complexity—resulting in deeper insights and larger virtual worlds.
ECS Anywhere,imgs/Containers/ECS-Anywhere.svg,https://aws.amazon.com/ecs-anywhere,"Manage and monitor your Amazon EC2, Amazon RDS, Amazon OpenSearch Service, Amazon ElastiCache, and Amazon Redshift reservations with reserved instance-specific cost management solutions."
EKS Anywhere,imgs/Containers/EKS-Anywhere.svg,https://aws.amazon.com/eks-anywhere,Amazon EKS Anywhere simplifies creating and operating on-premises Kubernetes clusters with default component configurations and automated cluster management tools.
EKS Cloud,imgs/Containers/EKS-Cloud.svg,https://aws.amazon.com/eks-cloud,Amazon Elastic Kubernetes Service (EKS) is a managed service and certified Kubernetes conformant to run Kubernetes on AWS and on-premises.
EKS Distro,imgs/Containers/EKS-Distro.svg,https://aws.amazon.com/eks-distro,"Amazon EKS Distro is a Kubernetes distribution used by Amazon EKS to help create reliable, secure clusters. EKS Distro can be used in AWS and on-premises."
Elastic Container Registry,imgs/Containers/Elastic-Container-Registry.svg,https://aws.amazon.com/elastic-container-registry,"Amazon Elastic Container Registry (ECR) is a fully managed Docker container registry that makes it easy to store, share, and deploy container images."
Elastic Container Service,imgs/Containers/Elastic-Container-Service.svg,https://aws.amazon.com/elastic-container-service,"Amazon Elastic Container Service (Amazon ECS) provides a fully managed container service solution that’s easy to use, scalable, secure, and reliable."
Elastic Kubernetes Service,imgs/Containers/Elastic-Kubernetes-Service.svg,https://aws.amazon.com/elastic-kubernetes-service,Amazon Elastic Kubernetes Service (EKS) is a managed service and certified Kubernetes conformant to run Kubernetes on AWS and on-premises.
Fargate,imgs/Containers/Fargate.svg,https://aws.amazon.com/fargate,AWS Fargate is a serverless compute engine for containers that works with both Amazon Elastic Container Service (ECS) and Amazon Elastic Kubernetes (EKS).
Red Hat OpenShift Service on AWS,imgs/Containers/Red-Hat-OpenShift-Service-on-AWS.svg,https://aws.amazon.com/red-hat-openshift-service-on-aws,"Amazon Redshift uses SQL to analyze structured and semi-structured data across data warehouses, operational databases, and data lakes, using AWS-designed hardware and machine learning to deliver the best price performance at any scale."
Activate,imgs/Customer-Enablement/Activate.svg,https://aws.amazon.com/activate,AWS Activate is a free program specifically designed for startups and early stage entrepreneurs that offers the resources needed to get started on AWS.
IQ,imgs/Customer-Enablement/IQ.svg,https://aws.amazon.com/iq,Complete projects faster with AWS Certified freelancers and AWS partners. Connect with experts quickly and pay directly through AWS.
Managed Services,imgs/Customer-Enablement/Managed-Services.svg,https://aws.amazon.com/managed-services,AMS is an enterprise service that provides ongoing management of your AWS infrastructure.
Professional Services,imgs/Customer-Enablement/Professional-Services.svg,https://aws.amazon.com/professional-services,Learn more on how AWS professional services can help you achieve your desired business outcomes with AWS
rePost,imgs/Customer-Enablement/rePost.svg,https://aws.amazon.com/repost,re:Post is the only AWS-managed community where experts review answers and author articles to help with AWS technical questions.
Support,imgs/Customer-Enablement/Support.svg,https://aws.amazon.com/support,Compare AWS premium customer support plans and purchase the level of support that’s right for your business needs.
Training Certification,imgs/Customer-Enablement/Training-Certification.svg,https://aws.amazon.com/training-certification,"Build your AWS Cloud Skills with AWS Training and Certification. Learn AWS online with free digital training, in-person classroom training, virtual classroom training, and private on-site and virtual training. Learn more!"
Aurora,imgs/Database/Aurora.svg,https://aws.amazon.com/aurora,Amazon Aurora is a global-scale relational database service built for the cloud with full MySQL and PostgreSQL compatibility.
Database Migration Service,imgs/Database/Database-Migration-Service.svg,https://aws.amazon.com/database-migration-service,"AWS Database Migration Service (DMS) is a highly resilient, secure cloud service that provides database discovery, schema conversion, data migration, and ongoing replication to and from a wide range of databases and analytics systems."
DocumentDB,imgs/Database/DocumentDB.svg,https://aws.amazon.com/documentdb,"Amazon DocumentDB (with MongoDB compatibility) is a fast, reliable, and fully managed database service that makes it easy for you to set up, operate, and scale MongoDB-compatible databases."
DynamoDB,imgs/Database/DynamoDB.svg,https://aws.amazon.com/dynamodb,"Amazon DynamoDB is a fully managed, serverless, key-value NoSQL database that runs high-performance applications at any scale, with built-in security, continuous backups, and automated multi-region replication."
ElastiCache,imgs/Database/ElastiCache.svg,https://aws.amazon.com/elasticache,"Amazon ElastiCache is a fully managed Redis- and Memcached-compatible service delivering real-time, cost-optimized performance for modern applications with 99.99% availability."
Keyspaces,imgs/Database/Keyspaces.svg,https://aws.amazon.com/keyspaces,"Learn more about Amazon Keyspaces (for Apache Cassandra), a scalable, highly available, and managed Apache Cassandra compatible database service."
MemoryDB for Redis,imgs/Database/MemoryDB-for-Redis.svg,https://aws.amazon.com/memorydb-for-redis,"Amazon MemoryDB for Redis is a Redis-compatible, durable, in-memory database service that delivers ultra-fast performance."
Neptune,imgs/Database/Neptune.svg,https://aws.amazon.com/neptune,"Amazon Neptune is a fast, fully managed database service powering graph use cases such as identity graphs, knowledge graphs, and fraud detection."
RDS,imgs/Database/RDS.svg,https://aws.amazon.com/rds,"Amazon Relational Database Service (RDS) is a fully managed, open-source cloud database service that allows you to easily operate and scale your relational database of choice, including Amazon Aurora, PostgreSQL, SQL Server, and MySQL."
RDS on VMware,imgs/Database/RDS-on-VMware.svg,https://aws.amazon.com/rds-on-vmware,"Amazon Relational Database Service (RDS) is a fully managed, open-source cloud database service that allows you to easily operate and scale your relational database of choice, including Amazon Aurora, PostgreSQL, SQL Server, and MySQL."
Timestream,imgs/Database/Timestream.svg,https://aws.amazon.com/timestream,"Amazon Timestream is a fast, scalable, serverless time series database service for Internet of Things (IoT) and operational applications that helps you store and analyze time series data."
Application Composer,imgs/Developer-Tools/Application-Composer.svg,https://aws.amazon.com/application-composer,AWS Application Composer helps you visually compose and configure AWS services into serverless applications backed by infrastructure as code.
Cloud Control API,imgs/Developer-Tools/Cloud-Control-API.svg,https://aws.amazon.com/cloud-control-api,Cloud Control API is a standardized set of CRUDL APIs for developers who require behavioral consistency without having to manage multiple service-specific APIs. Cloud Control API makes it simple to build and manage cloud infrastructure on AWS.
Cloud Development Kit,imgs/Developer-Tools/Cloud-Development-Kit.svg,https://aws.amazon.com/cloud-development-kit,AWS Cloud Development Kit (CDK) is an open-source software development framework used to model and provision your cloud application resources with familiar programming languages.
Cloud9,imgs/Developer-Tools/Cloud9.svg,https://aws.amazon.com/cloud9,"AWS Cloud9 is a cloud-based integrated development environment (IDE) that lets you write, run, and debug your code with just a browser."
CloudShell,imgs/Developer-Tools/CloudShell.svg,https://aws.amazon.com/cloudshell,"Quickly and securely access AWS Command Line Interfaces (CLIs), PowerShell, Bash, and other tools from a preconfigured and pre-authenticated browser-based shell environment."
CodeArtifact,imgs/Developer-Tools/CodeArtifact.svg,https://aws.amazon.com/codeartifact,"AWS CodeArtifact is a managed artifact repository service that lets you securely store, publish, and share software packages."
CodeBuild,imgs/Developer-Tools/CodeBuild.svg,https://aws.amazon.com/codebuild,"Build and test code with automatic scaling, and pay only for the build minutes you use."
CodeCatalyst,imgs/Developer-Tools/CodeCatalyst.svg,https://aws.amazon.com/codecatalyst,"Amazon CodeCatalyst is a unified software development service that makes it faster to build and deliver software on AWS. CodeCatalyst is fully managed by AWS, so you can focus on development."
CodeCommit,imgs/Developer-Tools/CodeCommit.svg,https://aws.amazon.com/codecommit,AWS CodeCommit is a managed source control repository that makes it easier for teams to securely collaborate on code with contributions encrypted in transit and at rest.
CodeDeploy,imgs/Developer-Tools/CodeDeploy.svg,https://aws.amazon.com/codedeploy,"AWS CodeDeploy makes it easier for you to rapidly release new features, avoid downtime during application deployment, and handle the complexity of updating your applications."
CodePipeline,imgs/Developer-Tools/CodePipeline.svg,https://aws.amazon.com/codepipeline,"AWS CodePipeline automates the build, test, and deploy phases of your release process each time a code change occurs."
CodeStar,imgs/Developer-Tools/CodeStar.svg,https://aws.amazon.com/codestar,"AWS CodeStar lets you quickly develop, build, and deploy applications on AWS."
Command Line Interface,imgs/Developer-Tools/Command-Line-Interface.svg,https://aws.amazon.com/command-line-interface,The AWS Command Line Interface (AWS CLI) is a unified tool that provides a consistent interface for interacting with all parts of Amazon Web Services.
Corretto,imgs/Developer-Tools/Corretto.svg,https://aws.amazon.com/corretto,"Amazon Corretto is a no-cost, multiplatform, production-ready distribution of the Open Java Development Kit (OpenJDK). Corretto comes with no-cost long-term support. Amazon runs Corretto internally on thousands of production services and Corretto is certified as compatible with the Java SE standard."
Tools and SDKs,imgs/Developer-Tools/Tools-and-SDKs.svg,https://aws.amazon.com/tools-and-sdks,"Find the latest SDKs, AWS CLI, and programming toolkits for use with Amazon Web Services."
X Ray,imgs/Developer-Tools/X-Ray.svg,https://aws.amazon.com/x-ray,AWS X-Ray helps you debug and analyze your microservices applications with request tracing so you can find the root cause of issues and performance bottlenecks.
AppStream,imgs/End-User-Computing/AppStream.svg,https://aws.amazon.com/appstream,"Amazon AppStream 2.0 offers secure, reliable, and scalable access to non-persistent desktops and applications from any location."
WorkLink,imgs/End-User-Computing/WorkLink.svg,https://aws.amazon.com/worklink,"Amazon WorkSpaces Web is a fully managed, Linux-based service designed to facilitate secure browser access to internal websites and SaaS applications."
WorkSpaces Family,imgs/End-User-Computing/WorkSpaces-Family.svg,https://aws.amazon.com/workspaces-family,"Fully managed, secure, reliable virtual desktops for every workload."
Amplify,imgs/Front-End-Web-Mobile/Amplify.svg,https://aws.amazon.com/amplify,"Accelerate your full-stack web and mobile app development with AWS Amplify. Easy to start, easy to scale. No cloud expertise needed."
Device Farm,imgs/Front-End-Web-Mobile/Device-Farm.svg,https://aws.amazon.com/device-farm,"AWS Device Farm is an application testing service that allows you to test iOS, Android, and web applications on real smartphones, tablets and desktop web browsers."
Location Service,imgs/Front-End-Web-Mobile/Location-Service.svg,https://aws.amazon.com/location-service,"Amazon Location Service is a location-based service that lets developers add location functionality, such as maps, points of interest, geocoding, routing, tracking, and geofencing, to their applications."
GameKit,imgs/Games/GameKit.svg,https://aws.amazon.com/gamekit,AWS GameKit is a game engine solution toolkit that allows you to add cloud-based game features using well-architected AWS backend solution templates.
GameLift,imgs/Games/GameLift.svg,https://aws.amazon.com/gamelift,"Amazon GameLift helps you deploy, operate, and scale dedicated game servers hosted in the cloud or on-premises for session-based multiplayer games."
GameSparks,imgs/Games/GameSparks.svg,https://aws.amazon.com/gamesparks,Amazon GameSparks is a fully managed game backend service that manages and scales your cloud infrastructure.
Lumberyard,imgs/Games/Lumberyard.svg,https://aws.amazon.com/lumberyard,"Amazon Lumberyard is a game engine with no royalties or seat fees, frictionless integration with Twitch and AWS, plus much more on the horizon. Download the latest version for free. Open 3D Engine is now available."
Open 3D Engine,imgs/Games/Open-3D-Engine.svg,https://aws.amazon.com/open-3d-engine,"Amazon Lumberyard is a game engine with no royalties or seat fees, frictionless integration with Twitch and AWS, plus much more on the horizon. Download the latest version for free. Open 3D Engine is now available."
Marketplace Dark,imgs/General-Icons/Marketplace_Dark.svg,https://aws.amazon.com/marketplace_dark,"Discover, purchase, migrate and deploy software solutions on AWS. Get the business software you want in minutes and pay only for what you consume."
Marketplace Light,imgs/General-Icons/Marketplace_Light.svg,https://aws.amazon.com/marketplace_light,"Discover, purchase, migrate and deploy software solutions on AWS. Get the business software you want in minutes and pay only for what you consume."
FreeRTOS,imgs/Internet-of-Things/FreeRTOS.svg,https://aws.amazon.com/freertos,"FreeRTOS is an open source, real-time operating system for microcontrollers and microprocessors that makes small, low-power devices easier to program, deploy, and secure."
IoT 1 Click,imgs/Internet-of-Things/IoT-1-Click.svg,https://aws.amazon.com/iot-1-click,AWS IoT 1-Click is a service that makes it easy for simple devices to invoke AWS Lambda functions that run a specific action.
IoT Analytics,imgs/Internet-of-Things/IoT-Analytics.svg,https://aws.amazon.com/iot-analytics,"AWS IoT Analytics makes it simple to run and operationalize analytics on massive volumes of IoT data, without the cost and complexity of building an IoT analytics platform."
IoT Button,imgs/Internet-of-Things/IoT-Button.svg,https://aws.amazon.com/iot-button,AWS IoT 1-Click is a service that makes it easy for simple devices to trigger AWS Lambda functions that execute a specific action.
